product_id,line_id,weight,length,thickness,temperature,vibration,humidity,shift,is_defect
PRD-017,Line Gamma,52.449,105.723,6.42,79.25,3.28,85.397,3,1
PRD-001,Line Beta,45.398,102.935,11.279,69.496,6.297,51.258,2,0
PRD-018,Line Gamma,29.352,112.949,15.914,93.558,2.1,46.808,2,1
PRD-016,Line Gamma,54.018,55.029,17.815,79.43,4.869,30.647,1,1
PRD-019,Line Beta,52.006,106.79,9.045,59.446,3.561,70.571,2,0
PRD-005,Line Alpha,33.597,116.766,7.417,71.953,4.854,79.624,3,0
PRD-013,Line Beta,40.833,108.181,9.807,60.576,4.637,36.434,3,0
PRD-008,Line Gamma,16.157,117.725,14.166,72.792,1.173,31.646,2,0
PRD-002,Line Beta,48.623,45.804,7.997,30.918,4.059,59.615,1,0
PRD-003,Line Gamma,52.059,80.07,5.853,88.462,1.459,52.28,2,1
PRD-001,Line Beta,53.456,86.149,4.528,53.13,2.815,61.13,3,0
PRD-009,Line Beta,50.884,35.918,8.155,56.241,2.089,60.035,3,0
PRD-010,Line Alpha,56.985,84.114,6.392,62.445,5.095,72.127,1,0
PRD-016,Line Beta,47.684,39.162,14.831,36.425,1.774,37.544,3,0
PRD-005,Line Gamma,16.47,80.883,2.631,79.146,0.724,45.54,1,1
PRD-010,Line Beta,46.384,33.442,4.115,60.456,7.009,57.16,2,0
PRD-009,Line Beta,56.5,45.99,15.926,80.317,3.638,25.271,1,0
PRD-013,Line Gamma,28.826,98.022,2.223,60.243,3.547,67.098,3,1
PRD-013,Line Gamma,55.253,26.376,5.741,21.877,6.424,59.299,3,1
PRD-003,Line Gamma,49.897,110.486,6.835,50.622,1.437,86.238,2,0
PRD-004,Line Alpha,22.801,71.442,8.218,47.826,6.861,68.754,3,0
PRD-005,Line Beta,42.126,102.538,11.85,90.429,2.374,68.32,1,1
PRD-008,Line Beta,16.57,86.996,10.711,93.338,2.903,47.87,1,0
PRD-015,Line Alpha,42.487,82.379,11.554,21.602,5.772,37.05,1,0
PRD-007,Line Alpha,50.172,73.192,11.382,80.979,2.061,74.206,3,1
PRD-005,Line Alpha,36.85,98.844,3.759,84.984,1.383,45.077,1,0
PRD-001,Line Alpha,24.207,28.31,8.735,28.524,0.926,51.379,2,0
PRD-004,Line Beta,35.177,114.269,2.694,78.742,6.309,56.502,2,0
PRD-001,Line Alpha,57.935,103.966,8.82,28.097,5.273,51.049,1,0
PRD-005,Line Alpha,17.805,80.553,11.366,73.411,3.052,61.817,2,0
PRD-020,Line Beta,16.562,88.687,15.645,68.819,5.652,70.459,1,0
PRD-008,Line Beta,27.591,62.617,8.656,27.131,3.359,66.558,2,0
PRD-016,Line Alpha,16.196,23.963,8.91,75.844,2.997,29.108,1,0
PRD-018,Line Gamma,27.164,27.834,7.658,69.901,5.527,80.766,3,1
PRD-010,Line Gamma,26.373,25.878,10.119,31.605,3.731,79.309,2,0
PRD-012,Line Alpha,47.08,75.281,14.916,83.387,7.029,77.29,3,0
PRD-018,Line Alpha,40.014,84.072,13.096,22.171,2.331,73.369,2,0
PRD-006,Line Alpha,38.051,57.082,4.27,67.488,0.705,72.228,1,0
PRD-015,Line Beta,19.241,47.722,7.19,90.606,4.495,81.834,1,1
PRD-020,Line Alpha,43.003,43.571,12.591,56.425,3.462,39.122,3,0
PRD-014,Line Alpha,25.029,86.241,9.786,70.035,0.804,47.668,3,1
PRD-007,Line Beta,55.485,95.572,14.227,41.709,1.304,54.817,2,0
PRD-013,Line Gamma,44.369,67.528,15.334,80.465,0.983,80.324,1,0
PRD-015,Line Alpha,51.657,75.455,11.174,73.212,3.299,28.062,1,0
PRD-006,Line Gamma,33.164,87.409,7.79,52.753,1.209,50.497,2,0
PRD-013,Line Beta,46.307,38.265,14.466,25.728,4.743,57.142,1,0
PRD-012,Line Beta,45.459,100.99,15.041,37.72,1.481,33.809,3,0
PRD-003,Line Alpha,55.759,80.935,9.423,62.28,4.382,67.679,3,0
PRD-020,Line Beta,51.755,80.858,4.415,25.121,3.463,41.197,2,0
PRD-012,Line Gamma,15.413,63.483,2.602,47.655,2.423,65.127,1,0
PRD-017,Line Beta,33.285,73.203,14.669,87.191,3.513,76.687,3,1
PRD-020,Line Beta,35.063,115.561,9.208,80.823,6.11,88.767,1,0
PRD-006,Line Alpha,23.396,60.965,9.031,59.206,1.564,46.1,2,0
PRD-011,Line Gamma,39.503,97.869,12.357,24.943,1.133,67.487,2,0
PRD-020,Line Alpha,27.335,76.188,4.263,46.237,6.984,68.894,2,1
PRD-003,Line Beta,37.71,82.567,7.256,29.585,5.209,86.298,3,0
PRD-003,Line Gamma,42.841,68.391,2.292,43.165,6.873,43.921,2,1
PRD-005,Line Alpha,15.55,103.665,3.618,77.816,6.095,81.858,1,0
PRD-020,Line Alpha,39.473,31.197,4.894,71.963,4.686,83.186,3,0
PRD-014,Line Beta,43.113,39.941,9.107,41.37,5.515,51.425,3,0
PRD-016,Line Alpha,28.921,114.449,17.751,54.626,2.388,46.731,3,0
PRD-006,Line Alpha,48.858,29.532,6.0,68.088,6.357,58.818,1,0
PRD-017,Line Alpha,25.113,95.127,6.365,87.898,1.487,50.623,1,0
PRD-012,Line Alpha,31.085,56.628,7.983,48.962,1.047,35.718,2,0
PRD-011,Line Alpha,18.33,45.122,15.276,72.205,1.43,69.388,2,0
PRD-003,Line Alpha,23.773,102.671,10.781,74.543,4.036,27.783,2,0
PRD-004,Line Alpha,22.968,82.09,11.965,24.711,6.106,54.988,3,1
PRD-017,Line Gamma,23.129,30.076,8.868,66.111,2.112,49.16,3,0
PRD-017,Line Beta,15.113,70.236,10.117,94.125,4.213,47.332,2,1
PRD-013,Line Beta,23.668,16.705,14.616,45.86,5.411,63.978,3,0
PRD-011,Line Alpha,14.039,72.331,15.016,33.132,5.72,52.524,3,0
PRD-006,Line Alpha,14.903,96.5,9.323,42.008,0.794,33.963,1,0
PRD-010,Line Gamma,30.318,100.618,9.574,22.747,4.834,40.028,1,0
PRD-011,Line Beta,17.726,53.642,16.232,75.748,6.494,47.065,1,0
PRD-016,Line Beta,54.518,69.524,14.818,74.531,1.029,62.172,1,0
PRD-011,Line Alpha,15.683,84.397,6.904,65.197,3.355,68.284,2,0
PRD-012,Line Gamma,57.915,43.828,17.68,91.093,1.003,64.626,2,1
PRD-006,Line Alpha,18.568,78.795,14.501,22.61,0.95,74.496,2,0
PRD-019,Line Alpha,39.834,86.302,17.181,47.901,5.613,60.175,3,0
PRD-011,Line Gamma,24.82,115.855,2.415,33.954,3.969,83.948,1,1
PRD-009,Line Gamma,32.529,119.618,6.569,88.736,3.791,28.585,1,1
PRD-015,Line Alpha,49.284,116.594,17.785,70.088,5.254,58.5,2,0
PRD-006,Line Gamma,44.64,88.523,4.785,47.112,2.002,88.959,1,1
PRD-016,Line Alpha,28.601,75.089,9.478,93.726,1.369,81.897,1,1
PRD-016,Line Gamma,30.897,57.991,11.198,29.4,2.624,25.192,2,0
PRD-012,Line Alpha,52.386,96.928,12.237,33.647,6.974,50.283,1,0
PRD-017,Line Alpha,25.99,32.007,16.956,36.91,6.848,56.323,2,0
PRD-009,Line Alpha,41.213,72.838,4.003,42.712,4.074,55.18,1,0
PRD-019,Line Alpha,19.875,80.57,16.432,45.321,6.69,22.884,1,0
PRD-019,Line Beta,41.952,95.531,8.665,67.924,3.837,63.901,2,0
PRD-010,Line Beta,23.264,99.772,8.497,54.016,5.114,31.066,2,0
PRD-007,Line Beta,39.906,47.821,13.494,75.065,6.267,88.276,1,0
PRD-017,Line Gamma,16.884,40.382,3.96,53.72,1.444,23.542,2,0
PRD-014,Line Alpha,56.284,109.743,15.016,90.031,5.332,33.288,1,1
PRD-017,Line Beta,34.943,47.397,2.371,90.892,3.886,87.668,1,1
PRD-002,Line Alpha,24.942,77.739,15.486,70.439,2.415,20.572,1,0
PRD-009,Line Gamma,28.826,57.342,2.724,23.837,4.264,45.377,2,1
PRD-017,Line Beta,47.163,44.371,17.825,71.03,1.296,88.256,2,0
PRD-011,Line Gamma,55.192,94.271,5.185,58.184,3.851,23.171,1,0
PRD-016,Line Gamma,33.021,78.657,10.248,44.597,4.608,31.375,3,0
PRD-010,Line Gamma,27.473,101.97,10.517,73.155,2.509,77.102,2,0
PRD-004,Line Beta,38.85,98.659,13.605,71.603,0.679,53.221,3,0
PRD-019,Line Gamma,22.467,20.392,9.687,59.317,5.332,74.222,2,0
PRD-008,Line Alpha,38.338,88.555,5.053,53.078,3.306,48.907,1,0
PRD-020,Line Beta,52.15,92.263,2.997,30.356,1.889,42.753,3,0
PRD-013,Line Beta,56.008,63.265,10.53,60.97,5.028,80.736,3,0
PRD-009,Line Gamma,34.272,115.52,6.464,42.387,6.808,88.758,2,0
PRD-016,Line Beta,34.071,73.851,16.952,74.125,2.428,60.143,3,0
PRD-013,Line Beta,55.912,99.485,6.647,41.572,5.285,44.245,2,0
PRD-016,Line Alpha,21.295,71.551,16.928,72.213,1.42,63.097,3,0
PRD-002,Line Gamma,53.638,38.696,5.725,27.515,2.713,53.068,3,0
PRD-001,Line Gamma,56.984,31.584,12.446,86.049,3.687,65.538,2,1
PRD-002,Line Alpha,42.006,39.383,13.819,83.775,0.75,84.503,2,0
PRD-006,Line Alpha,57.87,56.684,9.926,90.246,6.946,84.823,1,1
PRD-019,Line Gamma,16.936,118.214,6.553,94.182,4.14,54.574,1,0
PRD-015,Line Beta,20.869,26.828,4.6,54.419,2.224,33.034,3,0
PRD-010,Line Gamma,43.022,35.282,11.775,67.904,3.217,49.939,2,1
PRD-004,Line Alpha,57.158,65.133,16.973,20.512,3.07,51.271,2,0
PRD-010,Line Gamma,45.253,16.201,12.459,71.958,0.916,28.276,2,0
PRD-017,Line Gamma,47.413,87.48,12.219,90.548,2.963,35.459,1,1
PRD-015,Line Gamma,57.487,54.231,13.231,88.46,5.574,76.14,1,1
PRD-020,Line Alpha,36.173,70.458,7.789,88.793,1.252,78.014,3,1
PRD-018,Line Alpha,19.569,104.721,9.069,71.022,5.303,54.218,3,0
PRD-002,Line Beta,18.069,58.62,11.023,61.91,5.008,41.572,1,0
PRD-001,Line Gamma,22.023,22.668,8.779,72.529,4.126,24.218,1,0
PRD-016,Line Alpha,25.206,33.898,4.167,68.114,5.386,87.465,2,0
PRD-013,Line Beta,52.003,110.211,8.01,71.205,4.934,57.751,3,0
PRD-004,Line Alpha,57.671,56.271,4.038,93.404,6.093,72.933,2,1
PRD-018,Line Beta,36.469,101.453,5.96,45.962,2.347,85.619,3,0
PRD-002,Line Gamma,31.285,95.436,16.14,21.173,1.881,27.063,1,0
PRD-002,Line Alpha,46.065,57.238,5.749,36.295,6.287,23.951,3,0
PRD-008,Line Gamma,38.501,75.635,14.361,81.379,2.087,81.338,3,0
PRD-014,Line Beta,24.657,73.455,11.467,75.141,1.673,67.513,3,0
PRD-012,Line Gamma,42.882,97.509,7.1,51.224,1.5,46.352,3,0
PRD-008,Line Beta,51.447,30.157,9.408,24.322,3.265,49.156,3,0
PRD-008,Line Beta,21.353,82.904,16.756,83.535,1.12,70.721,1,1
PRD-013,Line Gamma,39.829,19.152,3.165,80.349,4.437,67.002,1,1
PRD-011,Line Beta,56.023,16.61,16.995,92.156,1.286,89.97,2,0
PRD-020,Line Gamma,21.408,111.088,10.833,78.164,3.05,57.356,2,0
PRD-012,Line Gamma,52.609,63.93,14.845,74.181,5.603,42.416,1,0
PRD-014,Line Alpha,37.876,38.234,4.335,39.558,6.763,60.54,2,0
PRD-007,Line Beta,22.581,74.828,5.932,61.298,6.821,43.629,2,0
PRD-016,Line Beta,19.739,98.472,4.708,74.024,3.772,84.183,3,0
PRD-002,Line Gamma,13.556,103.903,17.123,70.116,5.621,48.867,3,0
PRD-005,Line Alpha,22.061,62.881,2.967,67.83,6.757,83.893,3,0
PRD-001,Line Gamma,37.376,16.244,10.471,40.606,7.049,21.2,3,0
PRD-006,Line Alpha,54.23,70.06,5.856,66.484,2.191,44.811,2,1
PRD-013,Line Beta,37.99,118.974,5.614,71.303,6.181,65.762,3,0
PRD-003,Line Beta,29.446,73.034,2.898,20.709,1.648,54.99,2,0
PRD-011,Line Gamma,56.957,117.253,16.317,88.936,2.039,83.089,3,0
PRD-016,Line Beta,14.142,22.807,16.809,87.448,4.276,22.303,2,1
PRD-007,Line Gamma,18.633,101.173,15.134,89.666,2.505,59.477,3,0
PRD-013,Line Gamma,53.24,49.832,14.09,30.496,7.123,70.691,3,0
PRD-012,Line Alpha,16.494,39.375,3.216,65.388,4.613,61.693,2,1
PRD-009,Line Beta,34.568,52.36,17.058,52.389,5.054,66.247,1,0
PRD-010,Line Alpha,44.803,23.614,4.468,73.376,4.747,71.776,2,0
PRD-003,Line Alpha,55.376,61.697,14.182,27.667,1.085,50.169,3,0
PRD-014,Line Alpha,13.208,52.161,3.489,64.853,2.674,46.967,2,0
PRD-003,Line Gamma,53.452,110.047,17.651,62.897,1.636,46.651,1,0
PRD-009,Line Beta,18.713,32.557,6.415,42.481,5.744,45.279,1,0
PRD-016,Line Gamma,40.367,63.075,4.168,20.508,3.151,78.913,2,0
PRD-011,Line Beta,27.398,100.625,15.752,93.067,1.412,42.447,3,1
PRD-011,Line Alpha,56.37,116.716,6.663,72.122,3.79,60.312,1,0
PRD-009,Line Beta,28.791,112.867,5.197,94.795,1.706,73.733,1,0
PRD-015,Line Gamma,21.644,98.757,15.301,25.187,6.18,75.653,3,0
PRD-010,Line Alpha,23.623,31.185,8.77,48.274,3.509,61.855,3,0
PRD-017,Line Gamma,31.242,18.86,17.495,72.623,5.942,61.567,1,1
PRD-008,Line Gamma,42.576,32.466,11.803,62.242,4.822,65.272,2,0
PRD-014,Line Alpha,12.485,42.168,10.171,58.91,4.389,60.266,2,0
PRD-015,Line Gamma,39.075,67.549,7.519,21.842,1.2,49.118,1,0
PRD-005,Line Beta,26.347,62.81,5.31,56.219,3.69,50.672,3,0
PRD-003,Line Beta,14.055,89.632,2.361,45.731,1.233,76.004,3,1
PRD-006,Line Gamma,19.366,73.784,17.335,37.389,3.214,32.912,3,0
PRD-013,Line Alpha,45.92,107.725,9.193,52.216,0.53,35.036,2,0
PRD-003,Line Gamma,16.681,106.558,4.991,44.449,3.566,38.365,2,0
PRD-011,Line Gamma,29.877,56.217,3.828,46.399,3.568,32.077,3,0
PRD-010,Line Gamma,39.148,85.572,7.011,37.893,1.284,46.131,1,0
PRD-014,Line Gamma,18.342,55.29,4.972,67.663,5.146,65.168,1,0
PRD-016,Line Beta,18.454,48.031,9.216,24.021,2.906,20.671,1,0
PRD-013,Line Gamma,35.25,66.972,12.955,51.172,6.127,54.209,1,0
PRD-008,Line Beta,13.504,38.609,6.619,78.556,4.29,74.078,2,0
PRD-004,Line Gamma,17.254,96.387,15.173,47.515,6.011,22.913,3,0
PRD-007,Line Beta,16.711,102.157,14.022,42.328,7.195,51.481,2,0
PRD-003,Line Beta,51.803,27.326,14.99,35.741,5.442,68.239,3,0
PRD-014,Line Alpha,40.343,97.409,15.016,80.408,4.319,57.26,3,0
PRD-011,Line Gamma,25.461,75.137,17.238,58.581,6.531,77.063,1,0
PRD-014,Line Alpha,57.654,106.04,4.03,84.956,2.173,69.798,1,0
PRD-013,Line Beta,18.54,81.402,12.045,48.138,1.006,75.622,1,0
PRD-009,Line Gamma,55.071,53.752,17.204,44.547,0.517,74.189,3,1
PRD-015,Line Gamma,42.551,52.613,3.013,60.082,1.959,50.075,1,0
PRD-011,Line Beta,27.537,75.683,11.058,56.4,2.803,67.779,1,1
PRD-015,Line Alpha,17.715,105.053,9.061,20.051,6.919,34.162,3,0
PRD-010,Line Alpha,52.223,107.042,3.493,47.033,1.052,66.516,3,1
PRD-013,Line Gamma,26.053,88.441,5.746,69.161,5.215,20.076,2,1
PRD-019,Line Alpha,35.894,61.732,2.129,45.768,1.308,80.224,3,1
PRD-003,Line Alpha,29.621,91.73,3.639,43.501,6.403,29.599,1,0
PRD-005,Line Alpha,36.403,15.89,12.4,53.007,5.34,63.966,1,0
PRD-020,Line Gamma,32.35,37.811,16.345,30.501,1.325,71.101,2,0
PRD-011,Line Alpha,23.398,82.685,5.971,65.075,5.332,39.944,3,1
PRD-010,Line Alpha,35.816,68.5,13.965,42.166,0.866,82.854,1,0
PRD-004,Line Alpha,34.981,77.363,10.453,93.327,7.112,85.375,1,1
PRD-019,Line Beta,28.809,86.709,14.204,91.584,5.661,21.168,1,1
PRD-007,Line Alpha,54.439,114.611,8.368,41.487,5.275,73.698,2,0
PRD-003,Line Gamma,36.682,79.685,6.439,43.243,3.926,34.224,1,0
PRD-013,Line Gamma,41.178,102.625,12.897,24.959,5.181,71.097,1,1
PRD-003,Line Beta,17.335,79.291,2.88,69.956,4.909,32.295,1,0
PRD-001,Line Alpha,34.835,51.404,10.276,81.688,2.237,46.031,3,0
PRD-009,Line Gamma,52.775,96.0,2.47,80.533,2.322,24.471,3,0
PRD-003,Line Beta,32.939,52.813,9.994,62.516,2.964,37.858,1,0
PRD-004,Line Alpha,46.076,15.27,15.739,20.922,0.808,45.478,1,0
PRD-002,Line Gamma,48.943,89.972,12.491,36.839,2.163,84.11,2,0
PRD-003,Line Gamma,29.149,67.714,16.431,33.451,5.889,88.699,2,1
PRD-015,Line Beta,47.582,47.623,3.382,54.256,2.972,40.412,2,0
PRD-008,Line Beta,28.941,117.045,17.965,78.191,5.408,58.259,1,0
PRD-014,Line Alpha,22.718,51.374,15.433,85.79,6.872,20.102,3,1
PRD-010,Line Alpha,21.439,118.227,8.717,92.089,7.016,29.966,2,1
PRD-008,Line Gamma,31.001,109.036,9.335,76.092,4.391,55.38,3,0
PRD-003,Line Gamma,38.12,60.673,17.427,37.758,2.249,42.051,2,0
PRD-011,Line Beta,32.827,39.529,17.097,30.208,5.66,27.628,1,0
PRD-015,Line Beta,30.7,71.272,17.434,35.573,2.566,38.551,1,0
PRD-010,Line Gamma,44.056,19.235,15.375,44.585,1.111,37.375,2,0
PRD-002,Line Gamma,25.747,101.109,4.782,91.407,6.226,58.917,3,1
PRD-015,Line Alpha,48.979,29.678,2.191,82.278,7.083,29.15,2,1
PRD-003,Line Gamma,38.961,111.33,3.2,94.787,1.825,65.219,1,1
PRD-011,Line Alpha,13.964,63.404,4.688,63.041,6.005,47.65,1,0
PRD-014,Line Alpha,28.281,110.372,6.4,53.451,1.496,62.987,3,0
PRD-010,Line Beta,30.952,72.822,2.976,40.983,1.419,33.962,3,0
PRD-018,Line Alpha,57.513,97.101,7.746,60.839,3.747,83.887,3,0
PRD-009,Line Alpha,13.199,77.697,2.469,80.802,2.382,76.606,2,1
PRD-019,Line Alpha,56.803,25.514,12.51,39.99,5.969,84.208,1,0
PRD-008,Line Gamma,50.939,98.726,7.677,82.942,6.163,32.327,3,1
PRD-012,Line Gamma,13.298,88.559,17.161,62.27,4.273,33.176,2,0
PRD-006,Line Beta,13.746,20.898,11.627,21.495,3.703,43.221,3,0
PRD-005,Line Beta,44.979,111.472,15.509,44.269,0.647,61.063,1,0
PRD-017,Line Beta,56.186,54.227,17.071,49.67,1.177,41.124,1,0
PRD-014,Line Gamma,56.19,83.164,4.787,92.656,5.147,85.019,2,1
PRD-019,Line Alpha,29.406,92.069,6.712,33.328,0.512,69.141,3,0
PRD-019,Line Alpha,20.376,48.413,14.941,65.854,4.786,27.288,2,0
PRD-003,Line Alpha,27.953,48.549,12.179,92.231,6.005,66.902,3,0
PRD-015,Line Alpha,24.2,41.202,3.085,39.249,1.224,20.09,2,0
PRD-014,Line Alpha,52.689,66.774,8.059,60.952,1.18,53.564,3,0
PRD-008,Line Alpha,32.759,98.915,2.535,21.506,2.25,27.331,2,1
PRD-013,Line Alpha,45.671,72.44,16.37,26.983,4.48,62.955,2,0
PRD-014,Line Gamma,19.59,108.424,4.514,27.594,1.877,33.299,3,0
PRD-018,Line Beta,42.388,46.227,3.535,49.468,4.183,54.366,1,0
PRD-014,Line Alpha,25.549,84.512,11.603,34.976,0.672,31.958,2,0
PRD-016,Line Alpha,26.184,56.734,9.826,69.578,1.111,58.089,1,0
PRD-013,Line Beta,20.583,19.685,9.036,39.755,6.108,59.497,1,0
PRD-004,Line Alpha,42.734,99.859,8.624,76.734,2.024,24.269,2,0
PRD-014,Line Gamma,43.605,113.318,11.163,37.673,2.502,47.636,3,1
PRD-019,Line Gamma,48.821,86.141,11.924,29.021,5.573,32.102,1,0
PRD-007,Line Alpha,13.963,23.229,12.93,35.144,6.011,30.351,3,0
PRD-003,Line Alpha,29.853,56.722,7.218,40.715,3.57,81.143,3,0
PRD-017,Line Beta,17.176,30.712,11.066,63.701,6.964,27.014,1,0
PRD-004,Line Beta,51.904,107.414,16.046,39.81,4.887,60.042,2,1
PRD-009,Line Beta,18.617,78.909,13.099,22.909,6.46,43.205,1,1
